https://thenewboston.com/videos.php?cat=11&video=17017 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17018 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17019 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17020 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17021 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17022 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17023 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17024 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17025 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17026 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17027 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17028 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17029 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17030 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17031 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17032 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17033 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17034 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17035 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17036 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17037 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17038 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17039 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17040 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17041 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17042 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17043 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17044 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17045 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17046 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17047 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17048 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17049 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17050 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
